id,Author list,title,Year,m_control,n_control,sd_control,se_control,m_treatment,n_treatment,sd_treatment,se_treatment,m_Measure,m_Location,Species,Treatment_Type,Treatment_Overall,Treatment_Name,Sex,Dose (compared to AL),Treatment_length,Age_on_treatment,Strain,Other Variables,notes
153,"Felici, R. and Buonvicino, D. and Muzzi, M. and Cavone, L. and Guasti, D. and Lapucci, A. and Pratesi, S. and De Cesaris, F. and Luceri, F. and Chiarugi, A.","Post onset, oral rapamycin treatment delays development of mitochondrial encephalopathy only at supramaximal doses",2017,48,6,,,58.5,8,,,median,fig4+text,mice,Rapamycin,Rapamycin,Rapamycin,mixed,8 mg/kg,life,NA,Ndufs4 mice,Mitochondrial Encephaalopathy,mentions post-natal days but lifespan in text
154,"Felici, R. and Buonvicino, D. and Muzzi, M. and Cavone, L. and Guasti, D. and Lapucci, A. and Pratesi, S. and De Cesaris, F. and Luceri, F. and Chiarugi, A.","Post onset, oral rapamycin treatment delays development of mitochondrial encephalopathy only at supramaximal doses",2017,48,5,,,42,6,,,median,fig4+text,mice,Rapamycin,Rapamycin,Rapamycin,mixed,0.5 mg/kg,life,NA,Ndufs4 mice,Mitochondrial Encephaalopathy,mentions post-natal days but lifespan in text
155,"Fernandes, G. and Venkatraman, J. T. and Turturro, A. and Attwood, V. G. and Hart, R. W.",Effect of food restriction on life span and immune functions in long-lived Fischer-344 x Brown Norway F1 rats,1997,138,34,,,185,34,,,median,p88,rats,Percent Reduction,Dietary restriction,FR,female,60%,life,14 weeks,"Fischer-344xBNF, rats",None,
156,"Flurkey, K.; Astle, C. M.; Harrison, D. E.",Life Extension by Diet Restriction and N-Acetyl-L-Cysteine in Genetically Heterogeneous Mice,2010,820,14,,,1143,16,,,median,Figure 1,mice,Percent Reduction,Dietary restriction,Het3 DR,male,68%,life,4-5 weeks,UM-HET3 mice,None,
157,"Flurkey, K.; Astle, C. M.; Harrison, D. E.",Life Extension by Diet Restriction and N-Acetyl-L-Cysteine in Genetically Heterogeneous Mice,2010,891,16,,,1246,16,,,median,Figure 1,mice,Percent Reduction,Dietary restriction,Het3 DR,female,68%,life,4-5 weeks,UM-HET3 mice,None,
158,"Flurkey, K.; Astle, C. M.; Harrison, D. E.",Life Extension by Diet Restriction and N-Acetyl-L-Cysteine in Genetically Heterogeneous Mice,2010,859,16,,,1223,16,,,median,Figure 1,mice,Percent Reduction,Dietary restriction,CByB6 DR,male,68%,life,4-5 weeks,CByB6F1/J Mice,None,
159,"Flurkey, K.; Astle, C. M.; Harrison, D. E.",Life Extension by Diet Restriction and N-Acetyl-L-Cysteine in Genetically Heterogeneous Mice,2010,891,16,,,1274,16,,,median,Figure 1,mice,Percent Reduction,Dietary restriction,CByB6 DR,female,68%,life,4-5 weeks,CByB6F1/J Mice,None,
160,"Flurkey, K.; Astle, C. M.; Harrison, D. E.",Life Extension by Diet Restriction and N-Acetyl-L-Cysteine in Genetically Heterogeneous Mice,2010,831,14,237,63.34091433,1101,16,256,64,mean,table 1,mice,Percent Reduction,Dietary restriction,Het3 DR,male,68%,life,4-5 weeks,UM-HET3 mice,None,
161,"Flurkey, K.; Astle, C. M.; Harrison, D. E.",Life Extension by Diet Restriction and N-Acetyl-L-Cysteine in Genetically Heterogeneous Mice,2010,836,16,171,42.75,1169,16,195,48.75,mean,table 1,mice,Percent Reduction,Dietary restriction,Het3 DR,female,68%,life,4-5 weeks,UM-HET3 mice,None,
162,"Flurkey, K.; Astle, C. M.; Harrison, D. E.",Life Extension by Diet Restriction and N-Acetyl-L-Cysteine in Genetically Heterogeneous Mice,2010,839,16,227,56.75,1154,16,185,46.25,mean,table 1,mice,Percent Reduction,Dietary restriction,CByB6 DR,male,68%,life,4-5 weeks,CByB6F1/J Mice,None,
163,"Flurkey, K.; Astle, C. M.; Harrison, D. E.",Life Extension by Diet Restriction and N-Acetyl-L-Cysteine in Genetically Heterogeneous Mice,2010,859,16,205,51.25,1283,16,137,34.25,mean,table 1,mice,Percent Reduction,Dietary restriction,CByB6 DR,female,68%,life,4-5 weeks,CByB6F1/J Mice,None,
164,"Fok, W. C. and Chen, Y. and Bokov, A. and Zhang, Y. and Salmon, A. B. and Diaz, V. and Javors, M. and Wood, W. H., 3rd and Zhang, Y. and Becker, K. G. and Perez, V. I. and Richardson, A.",Mice fed rapamycin have an increase in lifespan associated with major changes in the liver transcriptome,2014,26.42433,40,,,28.50148,45,,,median,fig1,mice,Rapamycin,Rapamycin,Rapamycin,male,14 ppm,life,4 months,C57BL/6 mice,None,
165,"Fok, W. C. and Chen, Y. and Bokov, A. and Zhang, Y. and Salmon, A. B. and Diaz, V. and Javors, M. and Wood, W. H., 3rd and Zhang, Y. and Becker, K. G. and Perez, V. I. and Richardson, A.",Mice fed rapamycin have an increase in lifespan associated with major changes in the liver transcriptome,2014,28.15271,45,,,30.51724,45,,,median,fig1,mice,Rapamycin,Rapamycin,Rapamycin,female,14 ppm,life,4 months,C57BL/6 mice,None,
166,"Fok, W. C. and Chen, Y. and Bokov, A. and Zhang, Y. and Salmon, A. B. and Diaz, V. and Javors, M. and Wood, W. H., 3rd and Zhang, Y. and Becker, K. G. and Perez, V. I. and Richardson, A.",Mice fed rapamycin have an increase in lifespan associated with major changes in the liver transcriptome,2014,806,40,151.7893277,24,864,45,201.246118,30,mean,table s1,mice,Rapamycin,Rapamycin,Rapamycin,male,14ppm,life,4 months,C57BL/6J,None,
167,"Fok, W. C. and Chen, Y. and Bokov, A. and Zhang, Y. and Salmon, A. B. and Diaz, V. and Javors, M. and Wood, W. H., 3rd and Zhang, Y. and Becker, K. G. and Perez, V. I. and Richardson, A.",Mice fed rapamycin have an increase in lifespan associated with major changes in the liver transcriptome,2014,826,45,140.8722826,21,945,45,147.5804865,22,mean,table s1,mice,Rapamycin,Rapamycin,Rapamycin,female,14ppm,life,4 months,C57BL/6J,None,
168,"Fok, Wilson and Deepa, Sathyaseelan and Pharaoh, Gavin and Kinter, Michael and Diaz, Vivian and Riddle, Kaitlyn and Pulliam, Daniel and Hill, Shauna and Fischer, Kathleen and Soto, Vanessa and Georgescu, Constantin and Wren, Jonathan and Viscomi, Carlo and Richardson, Arlan and Van Remmen, Holly",lifelong Reduction in complex IV Induces Tissue Specific Metabolic Effects But Does not Reduce lifespan or Healthspan in Mice,2020,797,29,149.1690652,27.7,1063,45,360.9013716,53.8,mean,"Fig 2 caption for SS, Table 2 for mean",mice,Percent Reduction,Dietary restriction,Surf1+/+-DR,female,60%,life,2 months,Surf1 +/+,Complex IV assempbly loss,
169,"Fok, Wilson and Deepa, Sathyaseelan and Pharaoh, Gavin and Kinter, Michael and Diaz, Vivian and Riddle, Kaitlyn and Pulliam, Daniel and Hill, Shauna and Fischer, Kathleen and Soto, Vanessa and Georgescu, Constantin and Wren, Jonathan and Viscomi, Carlo and Richardson, Arlan and Van Remmen, Holly",lifelong Reduction in complex IV Induces Tissue Specific Metabolic Effects But Does not Reduce lifespan or Healthspan in Mice,2020,825,32,121.6223664,21.5,973,44,355.5421775,53.6,mean,"Fig 2 caption for SS, Table 2 for mean",mice,Percent Reduction,Dietary restriction,Surf1-/--DR,female,60%,life,2 months,Surf1 -/-,Complex IV assempbly loss,
170,"Fok, Wilson and Deepa, Sathyaseelan and Pharaoh, Gavin and Kinter, Michael and Diaz, Vivian and Riddle, Kaitlyn and Pulliam, Daniel and Hill, Shauna and Fischer, Kathleen and Soto, Vanessa and Georgescu, Constantin and Wren, Jonathan and Viscomi, Carlo and Richardson, Arlan and Van Remmen, Holly",lifelong Reduction in complex IV Induces Tissue Specific Metabolic Effects But Does not Reduce lifespan or Healthspan in Mice,2020,794,29,,,1077,45,,,median,"Fig 2 caption for SS, Table 2 for mean",mice,Percent Reduction,Dietary restriction,Surf1+/+-DR,female,60%,life,2 months,Surf1 +/+,Complex IV assempbly loss,
171,"Fok, Wilson and Deepa, Sathyaseelan and Pharaoh, Gavin and Kinter, Michael and Diaz, Vivian and Riddle, Kaitlyn and Pulliam, Daniel and Hill, Shauna and Fischer, Kathleen and Soto, Vanessa and Georgescu, Constantin and Wren, Jonathan and Viscomi, Carlo and Richardson, Arlan and Van Remmen, Holly",lifelong Reduction in complex IV Induces Tissue Specific Metabolic Effects But Does not Reduce lifespan or Healthspan in Mice,2020,850,32,,,1009,44,,,median,"Fig 2 caption for SS, Table 2 for mean",mice,Percent Reduction,Dietary restriction,Surf1-/--DR,female,60%,life,2 months,Surf1 -/-,Complex IV assempbly loss,
172,"Foronda, Miguel and Vera, Elsa and Blasco, Maria A. and Jesus, Bruno Bernardes De and Flores, Juana M.",Telomerase Reverse Transcriptase Synergizes with Calorie Restriction to Increase Health Span and Extend Mouse Longevity,2013,129.6,18,,,141.4,12,,,median,Fig6 K,mice,Percent Reduction,Dietary restriction,WT CR,male,60%,life,3 months,C57BL/6,Telomerase,
173,"Foronda, Miguel and Vera, Elsa and Blasco, Maria A. and Jesus, Bruno Bernardes De and Flores, Juana M.",Telomerase Reverse Transcriptase Synergizes with Calorie Restriction to Increase Health Span and Extend Mouse Longevity,2013,139.9,18,,,153.9,16,,,median,Fig6 K,mice,Percent Reduction,Dietary restriction,TgTERT CR,male,60%,life,3 months,TgTERT,Telomerase,
174,"Garcia, A. M.; Busuttil, R. A.; Calder, R. B.; Dolle, M. E.; Diaz, V.; McMahan, C. A.; Bartke, A.; Nelson, J.; Reddick, R.; Vijg, J.",Effect of Ames dwarfism and caloric restriction on spontaneous DNA mutation frequency in different mouse tissues,2008,31.81818,28,,,35.92074,28,,,median,fig2,mice,Percent Reduction,Dietary restriction,WT CR,male,60%,life,2 months,WT,spontanous mutations?,
175,"Garcia, A. M.; Busuttil, R. A.; Calder, R. B.; Dolle, M. E.; Diaz, V.; McMahan, C. A.; Bartke, A.; Nelson, J.; Reddick, R.; Vijg, J.",Effect of Ames dwarfism and caloric restriction on spontaneous DNA mutation frequency in different mouse tissues,2008,37.78555,28,,,31.81818,28,,,median,fig2,mice,Percent Reduction,Dietary restriction,DF CR,male,60%,life,2 months,Ames drawf mice,spontanous mutations?,
176,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,22.2,30,,,22.7,30,,,mean,table 1,mice,Fasted,Dietary restriction,A/J EOD 6,male,NA,life,6 months,A/J mice,None,
177,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,22.2,30,,,19.1,30,,,mean,table 1,mice,Fasted,Dietary restriction,A/J EOD 10,male,NA,life,10 months,A/J mice,None,
178,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,22.5,40,,,25.3,40,,,mean,table 1,mice,Fasted,Dietary restriction,A/J EOD 1.5,male,NA,life,1.5 months,A/J mice,None,
179,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,25,40,,,31.7,40,,,mean,table 1,mice,Fasted,Dietary restriction,C57Bl/6J EOD 1.5,male,NA,life,1.5 months,C57BL/6J mice,None,
180,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,26.4,30,,,29.2,30,,,mean,table 1,mice,Fasted,Dietary restriction,C57Bl/6J EOD 6,male,NA,life,6 months,C57BL/6J mice,None,
181,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,26.9,30,,,27,30,,,mean,table 1,mice,Fasted,Dietary restriction,C57Bl/6J EOD 10,male,NA,life,10 months,C57BL/6J mice,None,
182,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,27,40,,,32.4,40,,,mean,table 1,mice,Fasted,Dietary restriction,B6AF/J EOD 1.5,male,NA,life,1.5 months,B6AF/J mice,None,
183,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,27,40,,,32.1,30,,,mean,table 1,mice,Fasted,Dietary restriction,B6AF/J EOD 6,male,NA,life,6 months,B6AF/J mice,None,
184,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,27,40,,,26.8,30,,,mean,table 1,mice,Fasted,Dietary restriction,B6AF/J EOD 10,male,NA,life,10 months,B6AF/J mice,None,
185,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,101,30,,,101,30,,,median,Figure 1,mice,Fasted,Dietary restriction,A/J EOD 6,male,NA,life,6 months,A/J mice,None,
186,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,100,30,,,77,30,,,median,Figure 1,mice,Fasted,Dietary restriction,A/J EOD 10,male,NA,life,10 months,A/J mice,None,
187,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,92.7,40,,,104.09,40,,,median,Figure 1,mice,Fasted,Dietary restriction,A/J EOD 1.5,male,NA,life,1.5 months,A/J mice,None,
188,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,110.2,40,,,128,40,,,median,Figure 1,mice,Fasted,Dietary restriction,C57Bl/6J EOD 1.5,male,NA,life,1.5 months,C57BL/6J mice,None,
189,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,115,30,,,132,30,,,median,Figure 1,mice,Fasted,Dietary restriction,C57Bl/6J EOD 6,male,NA,life,6 months,C57BL/6J mice,None,
190,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,112,30,,,120,30,,,median,Figure 1,mice,Fasted,Dietary restriction,C57Bl/6J EOD 10,male,NA,life,10 months,C57BL/6J mice,None,
191,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,117,40,,,136,40,,,median,Figure 1,mice,Fasted,Dietary restriction,B6AF/J EOD 1.5,male,NA,life,1.5 months,B6AF/J mice,None,
192,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,116,40,,,145,30,,,median,Figure 1,mice,Fasted,Dietary restriction,B6AF/J EOD 6,male,NA,life,6 months,B6AF/J mice,None,
193,"Goodrick, C. L. and Ingram, D. K. and Reynolds, M. A. and Freeman, J. R. and Cider, N.",Effects of intermittent feeding upon body weight and lifespan in inbred mice: interaction of genotype and age,1990,116,40,,,116,30,,,median,Figure 1,mice,Fasted,Dietary restriction,B6AF/J EOD 10,male,NA,life,10 months,B6AF/J mice,None,
194,"Guo, J. M. and Zhang, L. and Niu, X. C. and Shu, H. and Wang, L. and Su, D. F. and Zhang, Y. and Liu, A. J. and Zhu, D. Q. and Xu, J. J.",Involvement of arterial baroreflex and nicotinic acetylcholine receptor alpha7 subunit pathway in the protection of metformin against stroke in stroke-prone spontaneously hypertensive rats,2017,316.4609,13,,,330.0412,13,,,median,fig2,rats,Metformin,Metformin,Met,male,100 mg/kg/d,life,NA,SHRSP, stroke-prone spontaneously hypertensive rats,
195,"Hamadeh, M. J. and Rodriguez, M. C. and Kaczor, J. J. and Tarnopolsky, M. A.",Caloric restriction transiently improves motor performance but hastens clinical onset of disease in the Cu/Zn-superoxide dismutase mutant G93A mouse,2005,131.9149,6,,,125,8,,,median,figure 3,mice,Percent Reduction,Dietary restriction,CR,mixed,60%,life,40 days,G93A mice,Superoxide dismutate mutant,
196,"Hamadeh, M. J. and Tarnopolsky, M. A.","Transient caloric restriction in early adulthood hastens disease endpoint in male, but not female, Cu/Zn-SOD mutant G93A mice",2006,131,7,7.937253933,3,118,9,6,2,mean,survivla paragraph means + ss in figure4,mice,Percent Reduction,Dietary restriction,TCR,male,60%,life,40 days,G93A mice,Superoxide dismutate mutant,
197,"Hamadeh, M. J. and Tarnopolsky, M. A.","Transient caloric restriction in early adulthood hastens disease endpoint in male, but not female, Cu/Zn-SOD mutant G93A mice",2006,132,10,9.486832981,3,131,6,9.797958971,4,mean,survivla paragraph means + ss in figure4,mice,Percent Reduction,Dietary restriction,TCR,female,60%,life,40 days,G93A mice,Superoxide dismutate mutant,
198,"Hamadeh, M. J. and Tarnopolsky, M. A.","Transient caloric restriction in early adulthood hastens disease endpoint in male, but not female, Cu/Zn-SOD mutant G93A mice",2006,128,7,,,127,9,,,median,figure 4,mice,Percent Reduction,Dietary restriction,TCR,male,60%,life,40 days,G93A mice,Superoxide dismutate mutant,
199,"Hamadeh, M. J. and Tarnopolsky, M. A.","Transient caloric restriction in early adulthood hastens disease endpoint in male, but not female, Cu/Zn-SOD mutant G93A mice",2006,129,10,,,129,6,,,median,figure 4,mice,Percent Reduction,Dietary restriction,TCR,female,60%,life,40 days,G93A mice,Superoxide dismutate mutant,
200,"Harper, J. M. and Leathers, C. W. and Austad, S. N.",Does caloric restriction extend life in wild mice?,2006,888.5,39,304.1314025,48.7,870.6,35,398.7437774,67.4,mean,p443,mice,Percent Reduction,Dietary restriction,CR,male,NA,life,12 weeks,Wild house mice (Mus musculus),Wild mice,
201,"Harper, J. M. and Leathers, C. W. and Austad, S. N.",Does caloric restriction extend life in wild mice?,2006,140,39,,,120,35,,,median,p443,mice,Percent Reduction,Dietary restriction,CR,male,NA,life,12 weeks,Wild house mice (Mus musculus),Wild mice,
202,"Harper, J. M.; Wilkinson, J. E.; Miller, R. A.",Macrophage migration inhibitory factor-knockout mice are long lived and respond to caloric restriction,2010,774,24,,,1045,24,,,median,fig1 and text on same page,mice,Percent Reduction,Dietary restriction,B6x129 F2 CR,female,60%,life,6 weeks,C57BL6/J crossed with 129/Sjv and then crossing F1 males and females,Inhibited macrophoage migration factor,
203,"Harper, J. M.; Wilkinson, J. E.; Miller, R. A.",Macrophage migration inhibitory factor-knockout mice are long lived and respond to caloric restriction,2010,895,39,,,1064,39,,,median,fig1 and text on same page,mice,Percent Reduction,Dietary restriction,MIFKO(CR),female,60%,life,6 weeks,MIF-KO (Macrophage migration inhibitory factor KO),Inhibited macrophoage migration factor,
204,"Harris, S. B. and Weindruch, R. and Smith, G. S. and Mickey, M. R. and Walford, R. L.",Dietary restriction alone and in combination with oral ethoxyquin/2-mercaptoethylamine in mice,1990,33.1,42,6.480740698,1,40.5,39,6.869497798,1.1,mean,table 6,mice,Percent Reduction,Dietary restriction,R,female,58%,life,21-28 days,C3B10RF,Antioxidants,
205,"Harris, S. B. and Weindruch, R. and Smith, G. S. and Mickey, M. R. and Walford, R. L.",Dietary restriction alone and in combination with oral ethoxyquin/2-mercaptoethylamine in mice,1990,33.9,32,6.222539674,1.1,29.9,35,11.83215957,2,mean,table 6,mice,Percent Reduction,Dietary restriction,R+aox,female,58%,life,21-28 days,C3B10RF,Antioxidants,
206,"Harris, S. B. and Weindruch, R. and Smith, G. S. and Mickey, M. R. and Walford, R. L.",Dietary restriction alone and in combination with oral ethoxyquin/2-mercaptoethylamine in mice,1990,32.4,42,,,43.9,39,,,median,table 6,mice,Percent Reduction,Dietary restriction,R,female,58%,life,21-28 days,C3B10RF,Antioxidants,
207,"Harris, S. B. and Weindruch, R. and Smith, G. S. and Mickey, M. R. and Walford, R. L.",Dietary restriction alone and in combination with oral ethoxyquin/2-mercaptoethylamine in mice,1990,35.7,32,,,34.3,35,,,median,table 6,mice,Percent Reduction,Dietary restriction,R+aox,female,58%,life,21-28 days,C3B10RF,Antioxidants,
208,"Harrison, D. E. and Archer, J. R. and Astle, C. M.",Effects of food restriction on aging: separation of food intake and adiposity,1984,526,29,193.8659331,36,823,39,287.2699079,46,mean,table 2,mice,Fasted,Dietary restriction,Rest. Ob/ob,female,NA,life,4 weeks,B6 ob/ob,Genetically obese,
209,"Harrison, D. E. and Archer, J. R. and Astle, C. M.",Effects of food restriction on aging: separation of food intake and adiposity,1984,771,32,158.391919,28,810,38,295.8918721,48,mean,table 2,mice,Fasted,Dietary restriction,Rest. +/+,female,NA,life,4 weeks,B6 +/+,Genetically obese,
210,"Harrison, D. E. and Archer, J. R. and Astle, C. M.",Effects of food restriction on aging: separation of food intake and adiposity,1984,552,29,,,814,39,,,median,table 2,mice,Fasted,Dietary restriction,Rest. Ob/ob,female,NA,life,4 weeks,B6 ob/ob,Genetically obese,
211,"Harrison, D. E. and Archer, J. R. and Astle, C. M.",Effects of food restriction on aging: separation of food intake and adiposity,1984,799,32,,,850,38,,,median,table 2,mice,Fasted,Dietary restriction,Rest. +/+,female,NA,life,4 weeks,B6 +/+,Genetically obese,
212,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,874,95,,,1001,48,,,median,figure 2 + table S2,mice,Rapamycin,Rapamycin,Rapamycin,female,14 mg/kg food,life,600 days,mice produced by mating CB6F1 females with C3D2F1 male,None,TJL
213,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,879,95,,,1025,48,,,median,figure 2 + table S2,mice,Rapamycin,Rapamycin,Rapamycin,female,14 mg/kg food,life,600 days,mice produced by mating CB6F1 females with C3D2F1 male,None,UM
214,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,889,99,,,946,48,,,median,figure 2 + table S2,mice,Rapamycin,Rapamycin,Rapamycin,female,14 mg/kg food,life,600 days,mice produced by mating CB6F1 females with C3D2F1 male,None,UT
215,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,787,126,,,787,57,,,median,figure 2 + table S2,mice,Rapamycin,Rapamycin,Rapamycin,male,14 mg/kg food,life,600 days,mice produced by mating CB6F1 females with C3D2F1 male,None,TJL
216,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,908,112,,,1043,51,,,median,figure 2 + table S2,mice,Rapamycin,Rapamycin,Rapamycin,male,14 mg/kg food,life,600 days,mice produced by mating CB6F1 females with C3D2F1 male,None,UM
217,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,735,119,,,967,60,,,median,figure 2 + table S2,mice,Rapamycin,Rapamycin,Rapamycin,male,14 mg/kg food,life,600 days,mice produced by mating CB6F1 females with C3D2F1 male,None,UT
218,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,803,357,,,959,168,,,median,figure 1 + table S2,mice,Rapamycin,Rapamycin,Rapamycin,male,14 mg/kg food,life,600 days,mice produced by mating CB6F1 females with C3D2F1 male,None,Pooled
219,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,886,289,,,1000,144,,,median,figure 1 + table S2,mice,Rapamycin,Rapamycin,Rapamycin,female,14 mg/kg food,life,600 days,mice produced by mating CB6F1 females with C3D2F1 male,None,Pooled
220,"Hasty, P. and Livi, C. B. and Dodds, S. G. and Jones, D. and Strong, R. and Javors, M. and Fischer, K. E. and Sloane, L. and Murthy, K. and Hubbard, G. and Sun, L. and Hurez, V. and Curiel, T. J. and Sharp, Z. D.",eRapa restores a normal life span in a FAP mouse model,2014,174,5,,,668,5,,,median,p173,mice,Rapamycin,Rapamycin,14ppm,female,14 ppm,NA,NA,ApcMin/þ mice,Intestinal neoplasia,
221,"Hasty, P. and Livi, C. B. and Dodds, S. G. and Jones, D. and Strong, R. and Javors, M. and Fischer, K. E. and Sloane, L. and Murthy, K. and Hubbard, G. and Sun, L. and Hurez, V. and Curiel, T. J. and Sharp, Z. D.",eRapa restores a normal life span in a FAP mouse model,2014,174,5,,,937,5,,,median,p173,mice,Rapamycin,Rapamycin,42ppm,female,42 ppm,NA,NA,ApcMin/þ mice,Intestinal neoplasia,
222,"Herranz, D. and Iglesias, G. and Munoz-Martin, M. and Serrano, M.",Limited role of Sirt1 in cancer protection by dietary restriction,2011,14.7561,23,,,20.12195,9,,,median,fig1,mice,Fasted,Dietary restriction,EOD p53-het/Sirt1-tg,mixed,every-other-day fasting,life,1 month,p53-het/Sirt1-tg,Ovrexpression Sirt1,
223,"Herranz, D. and Iglesias, G. and Munoz-Martin, M. and Serrano, M.",Limited role of Sirt1 in cancer protection by dietary restriction,2011,17.01219,26,,,19.57317,17,,,median,fig1,mice,Fasted,Dietary restriction,EOD p53-het/Sirt1-tg,mixed,every-other-day fasting,life,1 month,p53-het,p53 deficient,
